version	locus	quality	PC	mode	minus_log10_pvalue_corr	beta	precision	recall	precision_SC	recall_SC	PC_abundance	locus_abundance	PC_freq	TP	FN	TN	FP	specificity	accuracy	F1_score	MCC	TP_SC	FN_SC	TN_SC	FP_SC	specificity_SC	accuracy_SC	F1_score_SC	MCC_SC	pvalue	n_PC_tested	pvalue_corr	minus_log10_pvalue	precision_CI5_LOWER	precision_MEDIAN	precision_CI95_UPPER	recall_CI5_LOWER	recall_MEDIAN	recall_CI95_UPPER	precision_SC_CI5_LOWER	precision_SC_MEDIAN	precision_SC_CI95_UPPER	recall_SC_CI5_LOWER	recall_SC_MEDIAN	recall_SC_CI95_UPPER	F1_score_num
PCI80C50	KL15	lq	PC0715	lasso	inf	7.0	0.8	0.35	1.0	0.27	15	34	0.00596	12.0	22.0	2480.0	3.0	1.0	0.99	0.49	0.53	3.0	8.0	538.0	0.0	1.0	0.99	0.43	0.52	0.0	2166	0.0	inf	0.668	0.79	1.0	0.3	0.37	0.452	1.0	1.0	1.0	0.139	0.29	0.43	0.49
PCI80C80	KL15	lq	PC0775	lasso	inf	6.36	0.8	0.35	1.0	0.27	15	34	0.00596	12.0	22.0	2480.0	3.0	1.0	0.99	0.49	0.53	3.0	8.0	538.0	0.0	1.0	0.99	0.43	0.52	0.0	2240	0.0	inf	0.69	0.82	0.905	0.246	0.37	0.43	1.0	1.0	1.0	0.216	0.33	0.43	0.49
PCI00C50	KL16	lq	PC0667	lasso	inf	10.3	1.0	0.36	1.0	0.55	8	22	0.00318	8.0	14.0	2495.0	0.0	1.0	0.99	0.53	0.6	6.0	5.0	538.0	0.0	1.0	0.99	0.71	0.74	0.0	1207	0.0	inf	1.0	1.0	1.0	0.209	0.34	0.472	1.0	1.0	1.0	0.374	0.5	0.674	0.53
PCI00C80	KL16	lq	PC0748	lasso	inf	11.8	1.0	0.36	1.0	0.55	8	22	0.00318	8.0	14.0	2495.0	0.0	1.0	0.99	0.53	0.6	6.0	5.0	538.0	0.0	1.0	0.99	0.71	0.74	0.0	1481	0.0	inf	1.0	1.0	1.0	0.266	0.36	0.474	1.0	1.0	1.0	0.394	0.5	0.632	0.53
PCI50C50	KL16	lq	PC0809	lasso	inf	13.4	1.0	0.36	1.0	0.55	8	22	0.00318	8.0	14.0	2495.0	0.0	1.0	0.99	0.53	0.6	6.0	5.0	538.0	0.0	1.0	0.99	0.71	0.74	0.0	1688	0.0	inf	1.0	1.0	1.0	0.269	0.375	0.466	1.0	1.0	1.0	0.324	0.555	0.672	0.53
PCI50C80	KL16	lq	PC0882	lasso	inf	11.8	1.0	0.36	1.0	0.55	8	22	0.00318	8.0	14.0	2495.0	0.0	1.0	0.99	0.53	0.6	6.0	5.0	538.0	0.0	1.0	0.99	0.71	0.74	0.0	1834	0.0	inf	1.0	1.0	1.0	0.247	0.355	0.472	1.0	1.0	1.0	0.286	0.525	0.62	0.53
PCI80C50	KL16	lq	PC1036	lasso	inf	4.15	1.0	0.36	1.0	0.55	8	22	0.00318	8.0	14.0	2495.0	0.0	1.0	0.99	0.53	0.6	6.0	5.0	538.0	0.0	1.0	0.99	0.71	0.74	0.0	2166	0.0	inf	1.0	1.0	1.0	0.286	0.39	0.509	1.0	1.0	1.0	0.394	0.53	0.753	0.53
PCI80C80	KL16	lq	PC1056	lasso	inf	12.2	1.0	0.36	1.0	0.55	8	22	0.00318	8.0	14.0	2495.0	0.0	1.0	0.99	0.53	0.6	6.0	5.0	538.0	0.0	1.0	0.99	0.71	0.74	0.0	2240	0.0	inf	1.0	1.0	1.0	0.249	0.36	0.47	1.0	1.0	1.0	0.376	0.5	0.712	0.53
PCI00C50	KL2	lq	PC0226	lasso	inf	6.68	0.47	0.71	0.33	0.73	57	38	0.0226	27.0	11.0	2449.0	30.0	0.99	0.98	0.57	0.57	8.0	3.0	522.0	16.0	0.97	0.97	0.45	0.48	0.0	1207	0.0	inf	0.428	0.47	0.535	0.669	0.71	0.813	0.278	0.355	0.413	0.614	0.75	0.867	0.57
PCI00C80	KL2	lq	PC0701	lasso	inf	5.09	0.82	0.24	0.5	0.18	11	38	0.00437	9.0	29.0	2477.0	2.0	1.0	0.99	0.37	0.44	2.0	9.0	536.0	2.0	1.0	0.98	0.26	0.29	0.0	1481	0.0	inf	0.708	0.845	0.896	0.17	0.24	0.302	0.5	0.67	0.687	0.199	0.25	0.334	0.37
PCI50C50	KL2	lq	PC0438	lasso	inf	6.62	0.96	0.71	0.89	0.73	28	38	0.0111	27.0	11.0	2478.0	1.0	1.0	1.0	0.82	0.83	8.0	3.0	537.0	1.0	1.0	0.99	0.8	0.8	0.0	1688	0.0	inf	0.93	1.0	1.0	0.63	0.71	0.796	0.858	1.0	1.0	0.619	0.705	1.0	0.82
PCI50C80	KL2	lq	PC0512	lasso	inf	11.4	0.96	0.63	0.89	0.73	25	38	0.00993	24.0	14.0	2478.0	1.0	1.0	0.99	0.76	0.78	8.0	3.0	537.0	1.0	1.0	0.99	0.8	0.8	0.0	1834	0.0	inf	0.92	0.94	1.0	0.559	0.615	0.694	0.83	0.88	1.0	0.56	0.705	0.881	0.76
PCI80C50	KL2	lq	PC0528	lasso	inf	8.64	0.96	0.68	0.89	0.73	27	38	0.0107	26.0	12.0	2478.0	1.0	1.0	0.99	0.8	0.81	8.0	3.0	537.0	1.0	1.0	0.99	0.8	0.8	0.0	2166	0.0	inf	0.93	0.95	1.0	0.62	0.695	0.772	0.828	0.88	1.0	0.639	0.765	0.886	0.8
PCI80C80	KL2	lq	PC0662	lasso	inf	8.05	0.96	0.61	0.89	0.73	24	38	0.00954	23.0	15.0	2478.0	1.0	1.0	0.99	0.75	0.76	8.0	3.0	537.0	1.0	1.0	0.99	0.8	0.8	0.0	2240	0.0	inf	0.929	0.95	1.0	0.528	0.645	0.72	0.828	0.89	1.0	0.617	0.78	0.896	0.75
PCI00C50	KL21	lq	PC0225	lasso	inf	4.35	0.6	0.84	0.31	0.69	72	51	0.0286	43.0	8.0	2437.0	29.0	0.99	0.99	0.7	0.7	9.0	4.0	516.0	20.0	0.96	0.96	0.43	0.45	0.0	1207	0.0	inf	0.51	0.61	0.681	0.78	0.84	0.891	0.25	0.33	0.434	0.548	0.67	0.78	0.7
PCI00C80	KL21	lq	PC0229	lasso	inf	2.77	0.6	0.84	0.31	0.69	72	51	0.0286	43.0	8.0	2437.0	29.0	0.99	0.99	0.7	0.7	9.0	4.0	516.0	20.0	0.96	0.96	0.43	0.45	0.0	1481	0.0	inf	0.518	0.58	0.681	0.789	0.86	0.911	0.269	0.35	0.442	0.6	0.765	0.881	0.7
PCI50C50	KL21	lq	PC0281	lasso	inf	2.6	0.63	0.84	0.33	0.69	68	51	0.027	43.0	8.0	2441.0	25.0	0.99	0.99	0.72	0.72	9.0	4.0	518.0	18.0	0.97	0.96	0.45	0.46	0.0	1688	0.0	inf	0.559	0.625	0.671	0.789	0.845	0.911	0.278	0.37	0.421	0.579	0.67	0.822	0.72
PCI50C80	KL21	lq	PC0275	lasso	inf	2.86	0.63	0.84	0.33	0.69	68	51	0.027	43.0	8.0	2441.0	25.0	0.99	0.99	0.72	0.72	9.0	4.0	518.0	18.0	0.97	0.96	0.45	0.46	0.0	1834	0.0	inf	0.57	0.64	0.702	0.788	0.84	0.891	0.329	0.38	0.5	0.638	0.7	0.801	0.72
PCI80C50	KL21	lq	PC0325	lasso	inf	2.26	0.61	0.76	0.31	0.62	64	51	0.0254	39.0	12.0	2441.0	25.0	0.99	0.99	0.68	0.68	8.0	5.0	518.0	18.0	0.97	0.96	0.41	0.42	0.0	2166	0.0	inf	0.509	0.595	0.672	0.69	0.77	0.851	0.258	0.32	0.41	0.5	0.6	0.752	0.68
PCI80C80	KL21	lq	PC0383	lasso	inf	0.187	0.63	0.73	0.35	0.62	59	51	0.0234	37.0	14.0	2444.0	22.0	0.99	0.99	0.68	0.67	8.0	5.0	521.0	15.0	0.97	0.96	0.45	0.45	0.0	2240	0.0	inf	0.56	0.63	0.691	0.65	0.73	0.79	0.238	0.385	0.442	0.396	0.64	0.752	0.68
PCI00C50	KL22	lq	PC0206	lasso	inf	2.83	0.46	0.72	0.4	0.71	85	54	0.0338	39.0	15.0	2417.0	46.0	0.98	0.98	0.56	0.56	12.0	5.0	515.0	18.0	0.97	0.96	0.51	0.51	0.0	1207	0.0	inf	0.38	0.46	0.522	0.678	0.735	0.801	0.328	0.395	0.45	0.666	0.72	0.831	0.56
PCI00C80	KL22	lq	PC0220	lasso	inf	2.9	0.46	0.69	0.41	0.71	81	54	0.0322	37.0	17.0	2419.0	44.0	0.98	0.98	0.55	0.55	12.0	5.0	516.0	17.0	0.97	0.96	0.52	0.52	0.0	1481	0.0	inf	0.399	0.46	0.503	0.629	0.69	0.726	0.356	0.42	0.453	0.616	0.74	0.83	0.55
PCI50C50	KL22	lq	PC0232	lasso	inf	2.56	0.46	0.72	0.4	0.71	85	54	0.0338	39.0	15.0	2417.0	46.0	0.98	0.98	0.56	0.56	12.0	5.0	515.0	18.0	0.97	0.96	0.51	0.51	0.0	1688	0.0	inf	0.389	0.46	0.531	0.658	0.715	0.76	0.31	0.38	0.461	0.639	0.71	0.833	0.56
PCI50C80	KL22	lq	PC0249	lasso	inf	2.74	0.46	0.69	0.41	0.71	81	54	0.0322	37.0	17.0	2419.0	44.0	0.98	0.98	0.55	0.55	12.0	5.0	516.0	17.0	0.97	0.96	0.52	0.52	0.0	1834	0.0	inf	0.378	0.45	0.552	0.606	0.68	0.76	0.358	0.415	0.472	0.637	0.695	0.834	0.55
PCI80C50	KL22	lq	PC0288	lasso	inf	2.47	0.45	0.67	0.39	0.65	80	54	0.0318	36.0	18.0	2419.0	44.0	0.98	0.98	0.54	0.54	11.0	6.0	516.0	17.0	0.97	0.96	0.49	0.48	0.0	2166	0.0	inf	0.38	0.45	0.511	0.609	0.65	0.731	0.289	0.38	0.45	0.566	0.67	0.77	0.54
PCI80C80	KL22	lq	PC0292	lasso	inf	2.04	0.44	0.63	0.39	0.65	78	54	0.031	34.0	20.0	2419.0	44.0	0.98	0.97	0.52	0.51	11.0	6.0	516.0	17.0	0.97	0.96	0.49	0.48	0.0	2240	0.0	inf	0.37	0.42	0.46	0.568	0.615	0.74	0.288	0.39	0.441	0.531	0.67	0.801	0.52
PCI00C50	KL24	lq	PC0247	lasso			0.57	0.47	0.06	0.06	69	83	0.0274	39.0	44.0	2404.0	30.0	0.99	0.97	0.52	0.5	1.0	15.0	518.0	17.0	0.97	0.94	0.06	0.03		1207			0.51	0.545	0.61	0.39	0.45	0.521	0.06	0.08	0.09	0.07	0.08	0.1	0.52
PCI00C80	KL24	lq	PC0331	lasso			0.74	0.47	0.25	0.06	53	83	0.0211	39.0	44.0	2420.0	14.0	0.99	0.98	0.57	0.58	1.0	15.0	530.0	3.0	0.99	0.97	0.1	0.11		1481			0.688	0.74	0.77	0.397	0.465	0.542	0.25	0.29	0.5	0.07	0.08	0.11	0.57
PCI50C50	KL24	lq	PC0379	lasso	inf	2.34	0.74	0.47	0.25	0.06	53	83	0.0211	39.0	44.0	2420.0	14.0	0.99	0.98	0.57	0.58	1.0	15.0	530.0	3.0	0.99	0.97	0.1	0.11	0.0	1688	0.0	inf	0.67	0.74	0.815	0.42	0.46	0.54	0.25	0.33	0.5	0.07	0.08	0.1	0.57
PCI50C80	KL24	lq	PC0206	lasso	inf	6.8	0.61	0.71	0.52	0.81	97	83	0.0385	59.0	24.0	2396.0	38.0	0.98	0.98	0.66	0.64	13.0	3.0	521.0	12.0	0.98	0.97	0.63	0.64	0.0	1834	0.0	inf	0.54	0.615	0.683	0.64	0.74	0.81	0.389	0.5	0.61	0.7	0.82	0.911	0.66
PCI80C50	KL24	lq	PC0262	lasso	inf	8.16	0.8	0.76	0.79	0.94	79	83	0.0314	63.0	20.0	2418.0	16.0	0.99	0.99	0.78	0.77	15.0	1.0	529.0	4.0	0.99	0.99	0.86	0.86	0.0	2166	0.0	inf	0.76	0.8	0.853	0.72	0.745	0.802	0.69	0.75	0.873	0.82	0.86	0.934	0.78
PCI80C80	KL24	lq	PC0277	lasso	inf	5.09	0.79	0.71	0.76	0.81	75	83	0.0298	59.0	24.0	2418.0	16.0	0.99	0.98	0.75	0.74	13.0	3.0	529.0	4.0	0.99	0.99	0.78	0.78	0.0	2240	0.0	inf	0.72	0.785	0.831	0.64	0.7	0.75	0.669	0.77	0.862	0.767	0.82	0.924	0.75
PCI00C50	KL25	lq	PC0183	lasso	inf	4.59	0.62	0.89	0.56	0.9	76	53	0.0302	47.0	6.0	2435.0	29.0	0.99	0.99	0.73	0.73	9.0	1.0	532.0	7.0	0.99	0.99	0.69	0.71	0.0	1207	0.0	inf	0.548	0.625	0.71	0.828	0.875	0.94	0.42	0.55	0.642	0.668	0.79	1.0	0.73
PCI00C80	KL25	lq	PC0256	lasso	inf	1.87	0.6	0.58	0.42	0.5	52	53	0.0207	31.0	22.0	2443.0	21.0	0.99	0.98	0.59	0.58	5.0	5.0	532.0	7.0	0.99	0.98	0.46	0.45	0.0	1481	0.0	inf	0.5	0.605	0.653	0.499	0.57	0.631	0.178	0.36	0.5	0.284	0.44	0.56	0.59
PCI50C50	KL25	lq	PC0259	lasso	inf	6.06	0.64	0.81	0.53	0.8	67	53	0.0266	43.0	10.0	2440.0	24.0	0.99	0.99	0.72	0.71	8.0	2.0	532.0	7.0	0.99	0.98	0.64	0.65	0.0	1688	0.0	inf	0.599	0.63	0.69	0.778	0.835	0.89	0.36	0.5	0.622	0.497	0.78	1.0	0.72
PCI50C80	KL25	lq	PC0258	lasso	inf	2.08	0.57	0.81	0.36	0.8	76	53	0.0302	43.0	10.0	2431.0	33.0	0.99	0.98	0.67	0.67	8.0	2.0	525.0	14.0	0.97	0.97	0.5	0.53	0.0	1834	0.0	inf	0.51	0.555	0.601	0.758	0.795	0.881	0.308	0.355	0.415	0.569	0.78	0.886	0.67
PCI80C50	KL25	lq	PC0349	lasso	inf	3.77	0.62	0.7	0.42	0.5	60	53	0.0238	37.0	16.0	2441.0	23.0	0.99	0.98	0.66	0.65	5.0	5.0	532.0	7.0	0.99	0.98	0.46	0.45	0.0	2166	0.0	inf	0.5	0.62	0.682	0.56	0.68	0.74	0.248	0.345	0.453	0.328	0.44	0.503	0.66
PCI80C80	KL25	lq	PC0467	lasso	inf	2.63	0.68	0.53	0.12	0.1	41	53	0.0163	28.0	25.0	2451.0	13.0	0.99	0.98	0.6	0.59	1.0	9.0	532.0	7.0	0.99	0.97	0.11	0.1	0.0	2240	0.0	inf	0.589	0.675	0.763	0.418	0.525	0.61	0.12	0.17	0.263	0.1	0.12	0.17	0.6
PCI00C50	KL28	lq	PC0222	lasso	inf	9.0	0.68	0.76	0.56	1.0	57	51	0.0226	39.0	12.0	2448.0	18.0	0.99	0.99	0.72	0.72	10.0	0.0	531.0	8.0	0.99	0.99	0.72	0.74	0.0	1207	0.0	inf	0.61	0.68	0.761	0.69	0.76	0.83	0.5	0.61	0.786	0.88	1.0	1.0	0.72
PCI00C80	KL28	lq	PC0333	lasso	inf	11.1	0.8	0.69	0.9	0.9	44	51	0.0175	35.0	16.0	2457.0	9.0	1.0	0.99	0.74	0.73	9.0	1.0	538.0	1.0	1.0	1.0	0.9	0.9	0.0	1481	0.0	inf	0.7	0.79	0.862	0.58	0.685	0.75	0.858	0.88	1.0	0.696	0.88	1.0	0.74
PCI50C50	KL28	lq	PC0279	lasso	inf	5.29	0.75	0.76	0.71	1.0	52	51	0.0207	39.0	12.0	2453.0	13.0	0.99	0.99	0.75	0.75	10.0	0.0	535.0	4.0	0.99	0.99	0.83	0.84	0.0	1688	0.0	inf	0.668	0.74	0.82	0.708	0.77	0.832	0.6	0.7	0.886	0.86	1.0	1.0	0.75
PCI50C80	KL28	lq	PC0378	lasso	inf	5.05	0.8	0.69	0.9	0.9	44	51	0.0175	35.0	16.0	2457.0	9.0	1.0	0.99	0.74	0.73	9.0	1.0	538.0	1.0	1.0	1.0	0.9	0.9	0.0	1834	0.0	inf	0.728	0.81	0.87	0.64	0.705	0.781	0.828	0.89	1.0	0.746	0.88	1.0	0.74
PCI80C50	KL28	lq	PC0328	lasso	inf	5.41	0.72	0.71	0.67	1.0	50	51	0.0199	36.0	15.0	2452.0	14.0	0.99	0.99	0.71	0.71	10.0	0.0	534.0	5.0	0.99	0.99	0.8	0.81	0.0	2166	0.0	inf	0.69	0.71	0.771	0.66	0.715	0.791	0.636	0.71	0.83	0.857	1.0	1.0	0.71
PCI80C80	KL28	lq	PC0560	lasso	inf	7.94	0.77	0.47	1.0	0.6	31	51	0.0123	24.0	27.0	2459.0	7.0	1.0	0.99	0.58	0.6	6.0	4.0	539.0	0.0	1.0	0.99	0.75	0.77	0.0	2240	0.0	inf	0.707	0.76	0.854	0.408	0.48	0.542	1.0	1.0	1.0	0.378	0.57	0.67	0.58
PCI00C50	KL3	lq	PC0361	lasso	inf	5.17	1.0	0.64	1.0	0.75	37	58	0.0147	37.0	21.0	2459.0	0.0	1.0	0.99	0.78	0.8	9.0	3.0	537.0	0.0	1.0	0.99	0.86	0.86	0.0	1207	0.0	inf	1.0	1.0	1.0	0.549	0.63	0.683	1.0	1.0	1.0	0.636	0.7	0.782	0.78
PCI00C80	KL3	lq	PC0406	lasso	inf	4.35	1.0	0.64	1.0	0.75	37	58	0.0147	37.0	21.0	2459.0	0.0	1.0	0.99	0.78	0.8	9.0	3.0	537.0	0.0	1.0	0.99	0.86	0.86	0.0	1481	0.0	inf	1.0	1.0	1.0	0.588	0.635	0.721	1.0	1.0	1.0	0.566	0.7	0.881	0.78
PCI50C50	KL3	lq	PC0449	lasso	inf	5.0	1.0	0.66	1.0	0.75	38	58	0.0151	38.0	20.0	2459.0	0.0	1.0	0.99	0.8	0.81	9.0	3.0	537.0	0.0	1.0	0.99	0.86	0.86	0.0	1688	0.0	inf	1.0	1.0	1.0	0.609	0.655	0.712	1.0	1.0	1.0	0.638	0.7	0.752	0.8
PCI50C80	KL3	lq	PC0466	lasso	inf	3.27	1.0	0.64	1.0	0.75	37	58	0.0147	37.0	21.0	2459.0	0.0	1.0	0.99	0.78	0.8	9.0	3.0	537.0	0.0	1.0	0.99	0.86	0.86	0.0	1834	0.0	inf	1.0	1.0	1.0	0.55	0.62	0.683	1.0	1.0	1.0	0.595	0.7	0.804	0.78
PCI80C50	KL3	lq	PC0493	lasso	inf	11.4	1.0	0.66	1.0	0.75	38	58	0.0151	38.0	20.0	2459.0	0.0	1.0	0.99	0.8	0.81	9.0	3.0	537.0	0.0	1.0	0.99	0.86	0.86	0.0	2166	0.0	inf	1.0	1.0	1.0	0.588	0.67	0.71	1.0	1.0	1.0	0.62	0.7	0.781	0.8
PCI80C80	KL3	lq	PC0490	lasso	inf	3.31	1.0	0.64	1.0	0.75	37	58	0.0147	37.0	21.0	2459.0	0.0	1.0	0.99	0.78	0.8	9.0	3.0	537.0	0.0	1.0	0.99	0.86	0.86	0.0	2240	0.0	inf	1.0	1.0	1.0	0.569	0.655	0.742	1.0	1.0	1.0	0.56	0.73	0.8	0.78
PCI00C50	KL30	lq	PC0454	lasso	inf	5.0	1.0	0.34	1.0	0.17	24	70	0.00954	24.0	46.0	2447.0	0.0	1.0	0.98	0.51	0.58	4.0	20.0	525.0	0.0	1.0	0.96	0.29	0.4	0.0	1207	0.0	inf	1.0	1.0	1.0	0.27	0.33	0.431	1.0	1.0	1.0	0.06	0.15	0.24	0.51
PCI00C80	KL30	lq	PC0522	lasso	inf	3.66	1.0	0.34	1.0	0.17	24	70	0.00954	24.0	46.0	2447.0	0.0	1.0	0.98	0.51	0.58	4.0	20.0	525.0	0.0	1.0	0.96	0.29	0.4	0.0	1481	0.0	inf	1.0	1.0	1.0	0.28	0.34	0.42	1.0	1.0	1.0	0.12	0.19	0.24	0.51
PCI50C50	KL30	lq	PC0585	lasso	inf	3.12	1.0	0.34	1.0	0.17	24	70	0.00954	24.0	46.0	2447.0	0.0	1.0	0.98	0.51	0.58	4.0	20.0	525.0	0.0	1.0	0.96	0.29	0.4	0.0	1688	0.0	inf	1.0	1.0	1.0	0.29	0.35	0.432	1.0	1.0	1.0	0.138	0.17	0.224	0.51
PCI50C80	KL30	lq	PC0239	lasso	inf	3.15	0.54	0.59	0.41	0.58	76	70	0.0302	41.0	29.0	2412.0	35.0	0.99	0.97	0.56	0.55	14.0	10.0	505.0	20.0	0.96	0.95	0.48	0.46	0.0	1834	0.0	inf	0.48	0.54	0.604	0.518	0.58	0.681	0.328	0.405	0.481	0.468	0.56	0.72	0.56
PCI80C50	KL30	lq	PC0220	lasso	inf	3.31	0.56	0.64	0.43	0.62	80	70	0.0318	45.0	25.0	2412.0	35.0	0.99	0.98	0.6	0.59	15.0	9.0	505.0	20.0	0.96	0.95	0.51	0.49	0.0	2166	0.0	inf	0.5	0.565	0.602	0.57	0.65	0.714	0.349	0.45	0.481	0.57	0.67	0.733	0.6
PCI80C80	KL30	lq	PC0252	lasso	inf	3.34	0.54	0.59	0.41	0.58	76	70	0.0302	41.0	29.0	2412.0	35.0	0.99	0.97	0.56	0.55	14.0	10.0	505.0	20.0	0.96	0.95	0.48	0.46	0.0	2240	0.0	inf	0.5	0.555	0.601	0.538	0.595	0.661	0.348	0.44	0.5	0.47	0.605	0.71	0.56
PCI00C50	KL35	lq	PC0602	lasso	inf	0.891	0.31	0.16	0.17	0.07	13	25	0.00516	4.0	21.0	2483.0	9.0	1.0	0.99	0.21	0.22	1.0	13.0	530.0	5.0	0.99	0.97	0.1	0.09	0.0	1207	0.0	inf	0.104	0.29	0.43	0.057	0.125	0.24	0.162	0.2	0.25	0.076	0.09	0.121	0.21
PCI00C80	KL35	lq	PC0699	lasso	inf	0.404	0.31	0.16	0.17	0.07	13	25	0.00516	4.0	21.0	2483.0	9.0	1.0	0.99	0.21	0.22	1.0	13.0	530.0	5.0	0.99	0.97	0.1	0.09	0.0	1481	0.0	inf	0.12	0.33	0.439	0.079	0.175	0.25	0.198	0.2	0.339	0.08	0.095	0.172	0.21
PCI50C50	KL35	lq	PC0671	lasso	inf	4.4	0.71	0.4	0.67	0.29	14	25	0.00556	10.0	15.0	2488.0	4.0	1.0	0.99	0.51	0.53	4.0	10.0	533.0	2.0	1.0	0.98	0.4	0.43	0.0	1688	0.0	inf	0.569	0.72	0.881	0.286	0.405	0.502	0.5	0.67	0.8	0.218	0.33	0.402	0.51
PCI50C80	KL35	lq	PC0716	lasso	inf	4.41	0.71	0.4	0.67	0.29	14	25	0.00556	10.0	15.0	2488.0	4.0	1.0	0.99	0.51	0.53	4.0	10.0	533.0	2.0	1.0	0.98	0.4	0.43	0.0	1834	0.0	inf	0.566	0.685	0.867	0.269	0.33	0.5	0.5	0.67	0.763	0.218	0.315	0.381	0.51
PCI80C50	KL35	lq	PC1219	lasso	inf	6.04	1.0	0.32	1.0	0.21	8	25	0.00318	8.0	17.0	2492.0	0.0	1.0	0.99	0.48	0.56	3.0	11.0	535.0	0.0	1.0	0.98	0.35	0.46	0.0	2166	0.0	inf	1.0	1.0	1.0	0.199	0.315	0.421	1.0	1.0	1.0	0.178	0.24	0.302	0.48
PCI80C80	KL35	lq	PC1166	lasso	inf	6.05	1.0	0.32	1.0	0.21	8	25	0.00318	8.0	17.0	2492.0	0.0	1.0	0.99	0.48	0.56	3.0	11.0	535.0	0.0	1.0	0.98	0.35	0.46	0.0	2240	0.0	inf	1.0	1.0	1.0	0.276	0.33	0.44	1.0	1.0	1.0	0.18	0.25	0.3	0.48
PCI00C50	KL38	lq	PC0179	lasso	inf	0.546	0.19	0.45	0.35	0.55	81	33	0.0322	15.0	18.0	2418.0	66.0	0.97	0.97	0.27	0.28	6.0	5.0	527.0	11.0	0.98	0.97	0.43	0.42	0.0	1207	0.0	inf	0.119	0.175	0.21	0.344	0.43	0.533	0.287	0.38	0.46	0.395	0.565	0.75	0.27
PCI00C80	KL38	lq	PC0605	lasso	inf	6.11	0.92	0.36	0.86	0.55	13	33	0.00516	12.0	21.0	2483.0	1.0	1.0	0.99	0.52	0.58	6.0	5.0	537.0	1.0	1.0	0.99	0.67	0.68	0.0	1481	0.0	inf	0.83	0.885	1.0	0.23	0.35	0.422	0.8	0.83	1.0	0.4	0.555	0.672	0.52
PCI50C50	KL38	lq	PC0677	lasso	inf	17.6	0.92	0.36	0.86	0.55	13	33	0.00516	12.0	21.0	2483.0	1.0	1.0	0.99	0.52	0.58	6.0	5.0	537.0	1.0	1.0	0.99	0.67	0.68	0.0	1688	0.0	inf	0.876	0.89	1.0	0.258	0.35	0.45	0.828	0.86	1.0	0.38	0.56	0.68	0.52
PCI50C80	KL38	lq	PC0709	lasso	inf	13.9	0.92	0.36	0.86	0.55	13	33	0.00516	12.0	21.0	2483.0	1.0	1.0	0.99	0.52	0.58	6.0	5.0	537.0	1.0	1.0	0.99	0.67	0.68	0.0	1834	0.0	inf	0.857	0.95	1.0	0.228	0.355	0.431	0.828	0.93	1.0	0.497	0.56	0.672	0.52
PCI80C50	KL38	lq	PC0854	lasso	inf	6.36	0.92	0.36	0.86	0.55	13	33	0.00516	12.0	21.0	2483.0	1.0	1.0	0.99	0.52	0.58	6.0	5.0	537.0	1.0	1.0	0.99	0.67	0.68	0.0	2166	0.0	inf	0.798	0.89	1.0	0.264	0.34	0.53	0.75	0.83	1.0	0.43	0.565	0.71	0.52
PCI80C80	KL38	lq	PC0843	lasso	inf	6.36	0.92	0.36	0.86	0.55	13	33	0.00516	12.0	21.0	2483.0	1.0	1.0	0.99	0.52	0.58	6.0	5.0	537.0	1.0	1.0	0.99	0.67	0.68	0.0	2240	0.0	inf	0.857	0.92	1.0	0.23	0.385	0.483	0.798	0.86	1.0	0.428	0.565	0.754	0.52
PCI00C50	KL39	lq	PC0304	lasso			0.36	0.5	0.06	0.08	56	40	0.0222	20.0	20.0	2441.0	36.0	0.99	0.98	0.42	0.41	1.0	12.0	522.0	16.0	0.97	0.95	0.07	0.04		1207			0.318	0.345	0.4	0.417	0.49	0.64	0.07	0.08	0.1	0.08	0.1	0.111	0.42
PCI00C80	KL39	lq	PC0357	lasso			0.46	0.55	0.13	0.15	48	40	0.0191	22.0	18.0	2451.0	26.0	0.99	0.98	0.5	0.49	2.0	11.0	523.0	13.0	0.98	0.96	0.14	0.12		1481			0.359	0.47	0.534	0.429	0.55	0.642	0.099	0.175	0.222	0.11	0.2	0.252	0.5
PCI50C50	KL39	lq	PC0488	lasso	inf	7.61	0.62	0.52	0.29	0.15	34	40	0.0135	21.0	19.0	2464.0	13.0	0.99	0.99	0.57	0.56	2.0	11.0	531.0	5.0	0.99	0.97	0.2	0.2	0.0	1688	0.0	inf	0.496	0.585	0.68	0.408	0.5	0.602	0.198	0.33	0.405	0.08	0.17	0.222	0.57
PCI50C80	KL39	lq	PC0489	lasso	inf	11.0	0.62	0.52	0.29	0.15	34	40	0.0135	21.0	19.0	2464.0	13.0	0.99	0.99	0.57	0.56	2.0	11.0	531.0	5.0	0.99	0.97	0.2	0.2	0.0	1834	0.0	inf	0.519	0.63	0.71	0.46	0.5	0.58	0.2	0.33	0.509	0.09	0.2	0.252	0.57
PCI80C50	KL39	lq	PC0550	lasso	inf	13.2	0.66	0.52	0.4	0.15	32	40	0.0127	21.0	19.0	2466.0	11.0	1.0	0.99	0.58	0.58	2.0	11.0	533.0	3.0	0.99	0.97	0.22	0.24	0.0	2166	0.0	inf	0.569	0.675	0.781	0.458	0.53	0.652	0.25	0.45	1.0	0.09	0.18	0.29	0.58
