version	locus	quality	PC	mode	minus_log10_pvalue_corr	beta	precision	recall	precision_SC	recall_SC	PC_abundance	locus_abundance	PC_freq	TP	FN	TN	FP	specificity	accuracy	F1_score	MCC	TP_SC	FN_SC	TN_SC	FP_SC	specificity_SC	accuracy_SC	F1_score_SC	MCC_SC	pvalue	n_PC_tested	pvalue_corr	minus_log10_pvalue	precision_CI5_LOWER	precision_MEDIAN	precision_CI95_UPPER	recall_CI5_LOWER	recall_MEDIAN	recall_CI95_UPPER	precision_SC_CI5_LOWER	precision_SC_MEDIAN	precision_SC_CI95_UPPER	recall_SC_CI5_LOWER	recall_SC_MEDIAN	recall_SC_CI95_UPPER	F1_score_num
PCI00C50	KL122	lq	PC1028	lasso	inf	7.04	0.4	0.1	0.67	0.18	5	20	0.00199	2.0	18.0	2494.0	3.0	1.0	0.99	0.16	0.2	2.0	9.0	537.0	1.0	1.0	0.98	0.28	0.34	0.0	1207	0.0	inf	0.0	0.5	0.67	0.0	0.1	0.17	0.0	0.585	1.0	0.0	0.13	0.29	0.16
PCI00C80	KL122	lq	PC0675	lasso	inf	0.529	0.31	0.2	0.1	0.09	13	20	0.00516	4.0	16.0	2488.0	9.0	1.0	0.99	0.24	0.24	1.0	10.0	529.0	9.0	0.98	0.97	0.09	0.08	0.0	1481	0.0	inf	0.219	0.33	0.5	0.14	0.24	0.344	0.11	0.14	0.2	0.09	0.115	0.207	0.24
PCI50C50	KL122	lq	PC1357	lasso	inf	7.0	1.0	0.25	1.0	0.18	5	20	0.00199	5.0	15.0	2497.0	0.0	1.0	0.99	0.4	0.5	2.0	9.0	538.0	0.0	1.0	0.98	0.31	0.42	0.0	1688	0.0	inf	1.0	1.0	1.0	0.208	0.295	0.36	1.0	1.0	1.0	0.196	0.25	0.292	0.4
PCI50C80	KL122	lq	PC1451	lasso			1.0	0.25	1.0	0.18	5	20	0.00199	5.0	15.0	2497.0	0.0	1.0	0.99	0.4	0.5	2.0	9.0	538.0	0.0	1.0	0.98	0.31	0.42		1834			1.0	1.0	1.0	0.1	0.24	0.336	1.0	1.0	1.0	0.12	0.235	0.33	0.4
PCI80C50	KL122	lq	PC0462	lasso	inf	14.9	0.38	0.75	0.56	0.91	40	20	0.0159	15.0	5.0	2472.0	25.0	0.99	0.99	0.5	0.53	10.0	1.0	530.0	8.0	0.99	0.98	0.69	0.7	0.0	2166	0.0	inf	0.31	0.375	0.454	0.669	0.79	0.838	0.42	0.53	0.643	0.776	0.88	1.0	0.5
PCI80C80	KL122	lq	PC0469	lasso	inf	13.1	0.39	0.75	0.56	0.91	38	20	0.0151	15.0	5.0	2474.0	23.0	0.99	0.99	0.51	0.54	10.0	1.0	530.0	8.0	0.99	0.98	0.69	0.7	0.0	2240	0.0	inf	0.298	0.395	0.481	0.579	0.74	0.921	0.43	0.515	0.594	0.822	0.885	1.0	0.51
PCI00C50	KL125	lq	PC0293	lasso	inf	5.14	0.51	0.9	0.52	0.93	37	21	0.0147	19.0	2.0	2478.0	18.0	0.99	0.99	0.65	0.68	13.0	1.0	523.0	12.0	0.98	0.98	0.67	0.69	0.0	1207	0.0	inf	0.438	0.52	0.582	0.849	0.92	1.0	0.41	0.545	0.621	0.879	0.9	1.0	0.65
PCI00C80	KL125	lq	PC0311	lasso	inf	5.13	0.5	0.86	0.5	0.86	36	21	0.0143	18.0	3.0	2478.0	18.0	0.99	0.99	0.63	0.65	12.0	2.0	523.0	12.0	0.98	0.97	0.63	0.64	0.0	1481	0.0	inf	0.377	0.48	0.57	0.79	0.855	0.93	0.396	0.53	0.572	0.798	0.855	0.901	0.63
PCI50C50	KL125	lq	PC0354	lasso	inf	5.2	0.51	0.9	0.52	0.93	37	21	0.0147	19.0	2.0	2478.0	18.0	0.99	0.99	0.65	0.68	13.0	1.0	523.0	12.0	0.98	0.98	0.67	0.69	0.0	1688	0.0	inf	0.398	0.5	0.6	0.859	0.92	1.0	0.408	0.53	0.602	0.878	0.905	1.0	0.65
PCI50C80	KL125	lq	PC0357	lasso	inf	4.92	0.5	0.86	0.5	0.86	36	21	0.0143	18.0	3.0	2478.0	18.0	0.99	0.99	0.63	0.65	12.0	2.0	523.0	12.0	0.98	0.97	0.63	0.64	0.0	1834	0.0	inf	0.389	0.5	0.59	0.769	0.85	0.93	0.399	0.5	0.62	0.75	0.82	0.911	0.63
