MGG_K_locus,category,count,type,source
KL46,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL47,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL48,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL49,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL5,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL51,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL52,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL53,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL54,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL55,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL56,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL57,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL58,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL6,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL60,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL61,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL62,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL63,KASPAH_REF_SCs,3,SCs,KASPAH-REF
KL64,KASPAH_REF_SCs,3,SCs,KASPAH-REF
KL67,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL7,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL70,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL71,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL74,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL8,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL80,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL81,KASPAH_REF_SCs,0,SCs,KASPAH-REF
KL9,KASPAH_REF_SCs,1,SCs,KASPAH-REF
KL1,other_SCs,14,SCs,Other
KL10,other_SCs,15,SCs,Other
KL101,other_SCs,5,SCs,Other
KL102,other_SCs,7,SCs,Other
KL103,other_SCs,9,SCs,Other
KL104,other_SCs,1,SCs,Other
KL105,other_SCs,3,SCs,Other
KL106,other_SCs,2,SCs,Other
KL107,other_SCs,5,SCs,Other
KL108,other_SCs,4,SCs,Other
KL109,other_SCs,4,SCs,Other
KL11,other_SCs,11,SCs,Other
KL110,other_SCs,2,SCs,Other
KL111,other_SCs,13,SCs,Other
KL112,other_SCs,2,SCs,Other
KL113,other_SCs,9,SCs,Other
KL114,other_SCs,7,SCs,Other
KL115,other_SCs,2,SCs,Other
KL116,other_SCs,6,SCs,Other
KL117,other_SCs,9,SCs,Other
KL118,other_SCs,4,SCs,Other
KL119,other_SCs,7,SCs,Other
KL12,other_SCs,4,SCs,Other
KL120,other_SCs,3,SCs,Other
KL121,other_SCs,6,SCs,Other
KL122,other_SCs,10,SCs,Other
KL123,other_SCs,6,SCs,Other
KL124,other_SCs,6,SCs,Other
KL125,other_SCs,13,SCs,Other
KL126,other_SCs,5,SCs,Other
KL127,other_SCs,9,SCs,Other
KL128,other_SCs,7,SCs,Other
KL13,other_SCs,18,SCs,Other
KL130,other_SCs,1,SCs,Other
KL131,other_SCs,1,SCs,Other
KL132,other_SCs,4,SCs,Other
KL133,other_SCs,7,SCs,Other
KL134,other_SCs,7,SCs,Other
KL135,other_SCs,2,SCs,Other
KL136,other_SCs,4,SCs,Other
KL137,other_SCs,5,SCs,Other
KL138,other_SCs,0,SCs,Other
KL139,other_SCs,6,SCs,Other
KL14,other_SCs,9,SCs,Other
KL140,other_SCs,2,SCs,Other
KL141,other_SCs,2,SCs,Other
KL142,other_SCs,10,SCs,Other
KL143,other_SCs,4,SCs,Other
KL144,other_SCs,3,SCs,Other
KL145,other_SCs,1,SCs,Other
KL146,other_SCs,2,SCs,Other
KL147,other_SCs,1,SCs,Other
KL148,other_SCs,2,SCs,Other
KL149,other_SCs,4,SCs,Other
KL15,other_SCs,10,SCs,Other
KL151,other_SCs,6,SCs,Other
KL153,other_SCs,3,SCs,Other
KL155,other_SCs,2,SCs,Other
KL157,other_SCs,1,SCs,Other
KL158,other_SCs,4,SCs,Other
KL16,other_SCs,10,SCs,Other
KL162,other_SCs,2,SCs,Other
KL164,other_SCs,1,SCs,Other
KL165,other_SCs,1,SCs,Other
KL166,other_SCs,2,SCs,Other
KL167,other_SCs,5,SCs,Other
KL168,other_SCs,1,SCs,Other
KL169,other_SCs,1,SCs,Other
KL17,other_SCs,7,SCs,Other
KL170,other_SCs,1,SCs,Other
KL172,other_SCs,1,SCs,Other
KL173,other_SCs,1,SCs,Other
KL174,other_SCs,3,SCs,Other
KL176,other_SCs,1,SCs,Other
KL178,other_SCs,1,SCs,Other
KL18,other_SCs,5,SCs,Other
KL183,other_SCs,4,SCs,Other
KL19,other_SCs,6,SCs,Other
KL2,other_SCs,8,SCs,Other
KL20,other_SCs,9,SCs,Other
KL21,other_SCs,12,SCs,Other
KL22,other_SCs,15,SCs,Other
KL23,other_SCs,8,SCs,Other
KL24,other_SCs,13,SCs,Other
KL25,other_SCs,7,SCs,Other
KL27,other_SCs,8,SCs,Other
KL28,other_SCs,7,SCs,Other
KL3,other_SCs,12,SCs,Other
KL30,other_SCs,23,SCs,Other
KL31,other_SCs,9,SCs,Other
KL34,other_SCs,6,SCs,Other
KL35,other_SCs,15,SCs,Other
KL36,other_SCs,5,SCs,Other
KL38,other_SCs,9,SCs,Other
KL39,other_SCs,11,SCs,Other
KL4,other_SCs,0,SCs,Other
KL42,other_SCs,5,SCs,Other
KL43,other_SCs,4,SCs,Other
KL45,other_SCs,4,SCs,Other
KL46,other_SCs,8,SCs,Other
KL47,other_SCs,12,SCs,Other
KL48,other_SCs,10,SCs,Other
KL49,other_SCs,5,SCs,Other
KL5,other_SCs,5,SCs,Other
KL51,other_SCs,9,SCs,Other
KL52,other_SCs,4,SCs,Other
KL53,other_SCs,7,SCs,Other
KL54,other_SCs,7,SCs,Other
KL55,other_SCs,16,SCs,Other
KL56,other_SCs,3,SCs,Other
KL57,other_SCs,10,SCs,Other
KL58,other_SCs,5,SCs,Other
KL6,other_SCs,17,SCs,Other
KL60,other_SCs,9,SCs,Other
KL61,other_SCs,12,SCs,Other
KL62,other_SCs,13,SCs,Other
KL63,other_SCs,6,SCs,Other
KL64,other_SCs,15,SCs,Other
KL67,other_SCs,3,SCs,Other
KL7,other_SCs,10,SCs,Other
KL70,other_SCs,1,SCs,Other
KL71,other_SCs,6,SCs,Other
KL74,other_SCs,1,SCs,Other
KL8,other_SCs,14,SCs,Other
KL80,other_SCs,1,SCs,Other
KL81,other_SCs,4,SCs,Other
KL9,other_SCs,7,SCs,Other
KL1,no.pv.kaspah.ref,2,PVs,KASPAH-REF
KL10,no.pv.kaspah.ref,3,PVs,KASPAH-REF
KL101,no.pv.kaspah.ref,4,PVs,KASPAH-REF
KL102,no.pv.kaspah.ref,11,PVs,KASPAH-REF
KL103,no.pv.kaspah.ref,3,PVs,KASPAH-REF
KL104,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL105,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL106,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL107,no.pv.kaspah.ref,2,PVs,KASPAH-REF
KL108,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL109,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL11,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL110,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL111,no.pv.kaspah.ref,2,PVs,KASPAH-REF
KL112,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL113,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL114,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL115,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL116,no.pv.kaspah.ref,4,PVs,KASPAH-REF
KL117,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL118,no.pv.kaspah.ref,4,PVs,KASPAH-REF
KL119,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL12,no.pv.kaspah.ref,3,PVs,KASPAH-REF
KL120,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL121,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL122,no.pv.kaspah.ref,3,PVs,KASPAH-REF
KL123,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL124,no.pv.kaspah.ref,3,PVs,KASPAH-REF
KL125,no.pv.kaspah.ref,2,PVs,KASPAH-REF
KL126,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL127,no.pv.kaspah.ref,3,PVs,KASPAH-REF
KL128,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL13,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL130,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL131,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL132,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL133,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL134,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL135,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL136,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL137,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL138,no.pv.kaspah.ref,3,PVs,KASPAH-REF
KL139,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL14,no.pv.kaspah.ref,10,PVs,KASPAH-REF
KL140,no.pv.kaspah.ref,2,PVs,KASPAH-REF
KL141,no.pv.kaspah.ref,5,PVs,KASPAH-REF
KL142,no.pv.kaspah.ref,5,PVs,KASPAH-REF
KL143,no.pv.kaspah.ref,8,PVs,KASPAH-REF
KL144,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL145,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL146,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL147,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL148,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL149,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL15,no.pv.kaspah.ref,10,PVs,KASPAH-REF
KL151,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL153,no.pv.kaspah.ref,5,PVs,KASPAH-REF
KL155,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL157,no.pv.kaspah.ref,0,PVs,KASPAH-REF
KL158,no.pv.kaspah.ref,0,PVs,KASPAH-REF
